id,Tên sản phẩm,Giá
<built-in function id>,Son kem lì Belips City At Night màu C05 Swettie Baby,330000
<built-in function id>,Son lì Belips mềm môi City At Night màu C02 Sexy Red,265000
<built-in function id>,Set Son Belips Bộ Quà Tặng Bạn Gái Sang Trọng Quyến Rũ Đẳng Cấp Phiên Bản Vỏ Đen Truyền Thống,859000
<built-in function id>,Sét son Belips 3 son kem lì bộ quà tặng bạn gái sang trọng,859000
<built-in function id>,SON KEM LÌ VACOSI MATTE INK MỊN MÔI PHIÊN BẢN UNIVERSE,259000
<built-in function id>,Son lì Belips mướt mềm môi City At Night màu C01 Muse Orange,265000
<built-in function id>,Son Kem Bóng Baby Bright Sweet Cafe Shiny Tint 2.8g,89000
<built-in function id>,Bộ đôi son kem lì mỏng mịn mềm môi City At Night C01 Muse Orange + C02 Sexy Red,499000
<built-in function id>,Hộp quà tặng son kem Belips hộp hoa hồng 1 son,355000
<built-in function id>,(TẶNG 1 SON) Son môi kem lì HA:PY Matte Lip Cream phiên bản nâng cấp HAPY Roses MiniGarden son lì lâu trôi kháng nước,269000
<built-in function id>,Son kem lì HA:PY Matte Lip Cream bám màu lâu trôi 3.5ml - Phiên bản son Roses mẫu mới,159000
<built-in function id>,Son kem hữu cơ dưỡng ẩm - naturaglacé LIQUID ROUGE,888000
<built-in function id>,Son xăm lì siêu mịn không trôi Mira Aroma Tattoo Liptint Hàn Quốc 6g tặng kèm móc khoá,139000
<built-in function id>,"son kem belly Bám màu được 8- 12h Có thành phần kháng nước của Mỹ, không trôi khi rửa nước Không gây thâm môi Không chất cấm",170000
<built-in function id>,Son kem lì FOCALLURE velvet smooth 2.4g,99000
<built-in function id>,Son Absolute NewYork Velvet Lippie AVL16 - Maneeter (3g),179000
<built-in function id>,Son Kem Lì Mịn Môi PEKAH WINSOME COTTON TINT  Son kem lì Hàn Quốc 4.5g,175000
<built-in function id>,Son tẩy tế bào chết chuẩn thực phẩm Coboté 5g,95000
<built-in function id>,Son kem Nars Airmatte Lip Color,590000
<built-in function id>,Son Kem Lì Black Rouge Mịn Môi Air Fit Velvet Tint Mood Filter 36.6g,215000
<built-in function id>,Son kem VACOSI matte lip cream mềm mại căng mướt 7g,236000
<built-in function id>,"Son Kem Lì myKella Thuần Chay, Mịn Mượt, Dưỡng Môi Chống Thâm - KISSABLE MATTE LIP CREAM 5ml",299000
<built-in function id>,Son Bourjois Rouge Edition Velvet Lipstick,299000
<built-in function id>,"Son Tint Dạng Kem Bóng Daisy Doll Nhật Bản Cho Đôi Môi Mọng Nước, Căng Mướt BR-01 Orange Brown 5g",299000
